Issue GitHub,ID,BLOQUEIA,PRODUTO,Features/Ações,Trimestre,Previsão de Entrega,Responsavel,Status,CATEGORIA,Observações,Prioridade,Domínio,Sub-domínio,Módulo,Sprint
,,,IMPORTADOR,Refatoração e Melhoria,JANEIRO - MARÇO,Março,Mateus,Entregue,MELHORIA,Nova versão do Importador com VUE e node. ,,7 — Importação SIGFAPES,7.5 Gestão da Importação,M002,Q1
,,,PORTAL FAPES - ADMIN,Criação de um módulo que facilite a importação de novos bolsistas e projetos pela equipe da Fapes,JANEIRO - MARÇO,Fevereiro,Mateus,Entregue / Pendente,OPORTUNIDADE,Desenvolvimento de Módulo que permita a melhoria do processo de importação e correção dos dados de bolsistas pela equipe da Fapes. Jogar para o nosso servidor,,7 — Importação SIGFAPES,7.5 Gestão da Importação,M002,Q1
,,,PORTAL FAPES - ADMIN,Importação dos bolsistas do Mestrado e Doutorado,JANEIRO - MARÇO,Março,Mateus,Entregue,FUNCIONALIDADE,Importação do Mestrado e Doutorado,,7 — Importação SIGFAPES,7.3 Importação de Pessoas,M002,Q1
,,,PORTAL FAPES - ADMIN,Importação dos bolsistas do UNAC,JANEIRO - MARÇO → ABRIL - JUNHO,Maio,Mateus,Transferido,FUNCIONALIDADE,"[Transferido do Q1] Importação dos bolsistas de Mestrado e UNAC/ Mudou a prioridade para Mestrado e Doutorado em processo de entendimento do processo, sistema apartado.",,7 — Importação SIGFAPES,7.3 Importação de Pessoas,M002,SPRINT-002
,,,PORTAL FAPES - ADMIN,Importação do cotas de bolsas por projetos para o Portal Fapes/Coodenador,JANEIRO - MARÇO,Fevereiro,Marcela/Omena,Entregue,FUNCIONALIDADE,Importação do Quadro de cotas e adequação para cada projeto importado,,7 — Importação SIGFAPES,7.4 Importação de Pagamentos,M002,Q1
,,,PORTAL FAPES - ADMIN,Edição de Cotas quando importar do Sigfapes,JANEIRO - MARÇO,Fevereiro,Marcela,Homol,OPORTUNIDADE,Permitir que o Gestor da Fapes edite cotas dentro do portal,,7 — Importação SIGFAPES,7.5 Gestão da Importação,M002,Q1
,,,PORTAL FAPES - ADMIN,Acerto do cadastro de Versão de Bolsa,JANEIRO - MARÇO → ABRIL - JUNHO,Abril,Vinicius,Transferido,MELHORIA,[Transferido do Q1] Melhorar a gestão de cadastro de versão de bolsa,,1 — Corporativo e Administrativo,1.4 Modalidades de Bolsa,M001,SPRINT-001
,,,PORTAL FAPES - ADMIN,Tela de Pagamento Manual,JANEIRO - MARÇO,Fevereiro,Vinicius,Entregue,FUNCIONALIDADE,Criar uma tela no qual o servidor da Fapes informa que fez um pagamento manual,,5 — Financeiro,5.3 Pagamentos,M004,Q1
,,,PORTAL FAPES - ADMIN,Mapa de Pagamento,JANEIRO - MARÇO → ABRIL - JUNHO,Maio,Vinicus,Transferido,FUNCIONALIDADE,[Transferido do Q1 — Postergado] Cria um relatório em excel ou csv que permite exportar os pagamentos realizados em projetos e editais,,5 — Financeiro,5.3 Pagamentos,M004,SPRINT-003
"PORTAL FAPES - ADMIN, PORTAL FAPES - COORDENADOR",,,PORTAL FAPES - ADMIN,Resiliencia das APIS usando Fila,JANEIRO - MARÇO,Fevereiro,Vinicus,Entregue,MELHORIA,,,1 — Corporativo e Administrativo,1.1 Acesso e Segurança (IAM),M007,Q1
